,customer_id,rcpt_domain_legacy_isp,rcpt_domain_other,total_injection_count,total_injection_count_tracked,complaint_count,trap_count,open_count,admin_csl_bounce,admin_gsl_bounce,admin_other_bounce,block_bounce,dns_failure_bounce,generic_bounce,hard_bounce,mailbox_full_bounce,other_bounce,smart_send_suppression_bounce,soft_bounce,timeout_bounce,too_large_bounce,transient_failure_bounce,undetermined_bounce,rcpt_domain_legacy_isp_percent,rcpt_domain_other_percent,total_injection_count_tracked_percent,complaint_count_percent,trap_count_percent,open_count_percent,admin_csl_bounce_percent,admin_gsl_bounce_percent,admin_other_bounce_percent,block_bounce_percent,dns_failure_bounce_percent,generic_bounce_percent,hard_bounce_percent,mailbox_full_bounce_percent,other_bounce_percent,smart_send_suppression_bounce_percent,soft_bounce_percent,timeout_bounce_percent,too_large_bounce_percent,transient_failure_bounce_percent,undetermined_bounce_percent,terminated
226,226,,7158,7158,7139,2,,13555,97,7,,24,,,27,,,,,,,,,0,1,0.997345627,0.000279408,0,1.893685387,0.013551271,0.000977927,0,0.003352892,0,0,0.003772003,0,0,0,0,0,0,0,0,FALSE
227,227,2,1092,1094,1094,,,199,3,1,,,,,5,,,,,2,,,,0.001828154,0.998171846,1,0,0,0.18190128,0.00274223,0.000914077,0,0,0,0,0.004570384,0,0,0,0,0.001828154,0,0,0,FALSE
228,228,,1862,1862,1861,,,1656,11,1,,,,,,,,,,,,,1,0,1,0.999462943,0,0,0.889366273,0.005907626,0.000537057,0,0,0,0,0,0,0,0,0,0,0,0,0.000537057,FALSE
229,229,,18231,18231,0,,45,,,,9,287,,1,108,,,,,,6,1,64,0,1,0,0,0.002468323,0,0,0,0.000493665,0.015742417,0,5.49E-05,0.005923976,0,0,0,0,0,0.00032911,5.49E-05,0.003510504,FALSE
230,230,2,49172,49174,49173,1,6,19799,1809,72,,,1,,129,2,,,,9,,,7,4.07E-05,0.999959328,0.999979664,2.03E-05,0.000122016,0.402631472,0.036787733,0.001464188,0,0,2.03E-05,0,0.002623338,4.07E-05,0,0,0,0.000183024,0,0,0.000142352,FALSE
231,231,,1469,1469,16,,,20,,,,,,,1,,,,,,,,,0,1,0.010891763,0,0,0.013614704,0,0,0,0,0,0,0.000680735,0,0,0,0,0,0,0,0,FALSE
232,232,180,1339,1519,15,,1,26,57,13,,1,2,,5,2,,,,5,,,,0.118499013,0.881500987,0.009874918,0,0.000658328,0.017116524,0.037524687,0.008558262,0,0.000658328,0.001316656,0,0.003291639,0.001316656,0,0,0,0.003291639,0,0,0,FALSE
233,233,,1476,1476,1475,,2,675,26,2,,6,,,60,15,,,,,,1,9,0,1,0.999322493,0,0.001355014,0.457317073,0.017615176,0.001355014,0,0.004065041,0,0,0.040650407,0.010162602,0,0,0,0,0,0.000677507,0.006097561,FALSE
234,234,476,10416,10892,0,4,,512,2,1,,20,3,,15,1,,,,34,,,4,0.043701799,0.956298201,0,0.000367242,0,0.047006978,0.000183621,9.18E-05,0,0.00183621,0.000275432,0,0.001377158,9.18E-05,0,0,0,0.003121557,0,0,0.000367242,FALSE
235,235,38,6357,6395,6212,,8,1470,212,24,,12,2,4,23,1,,,,51,,,17,0.005942142,0.994057858,0.971383894,0,0.001250977,0.229867084,0.033150899,0.003752932,0,0.001876466,0.000312744,0.000625489,0.00359656,0.000156372,0,0,0,0.00797498,0,0,0.002658327,FALSE
236,236,157,1638,1795,0,,,,,,,8,,,8,,,,,251,,,1,0.087465181,0.912534819,0,0,0,0,0,0,0,0.004456825,0,0,0.004456825,0,0,0,0,0.139832869,0,0,0.000557103,TRUE
237,237,2,1434,1436,1436,,1,757,62,54,,19,,,20,,,,,8,,2,,0.001392758,0.998607242,1,0,0.000696379,0.527158774,0.043175487,0.037604457,0,0.013231198,0,0,0.013927577,0,0,0,0,0.005571031,0,0.001392758,0,FALSE
